START TIME:2024-04-03 23:29:43
REPEAT,TIME(sec),SMUA-VOLTAGE(V),SMUA-CURRENT(A),SMUB-VOLTAGE(V),SMUB-CURRENT(A)
1,3.300000e-06, -5.00000e-01, -2.05394e-07, -5.00000e-01, -2.95162e-03
1,1.242920e-01, -5.00000e-01, -4.11268e-08, -5.00000e-01, -3.19599e-03
1,1.243457e-01, -1.20000e+00, -1.39619e-07, -5.00000e-01, -3.81868e-03
1,2.487292e-01, -1.20000e+00, -6.45975e-08, -5.00000e-01, -4.17150e-03
1,3.054058e-01, -1.20000e+00, -5.47310e-08, -5.00000e-01, -4.27993e-03
1,3.619834e-01, -1.20000e+00, -4.81832e-08, -5.00000e-01, -4.37284e-03
1,4.184410e-01, -1.20000e+00, -4.34759e-08, -5.00000e-01, -4.45374e-03
1,4.749580e-01, -1.20000e+00, -3.98672e-08, -5.00000e-01, -4.52576e-03
1,5.314552e-01, -1.20000e+00, -3.69864e-08, -5.00000e-01, -4.59077e-03
1,5.880556e-01, -1.20000e+00, -3.45893e-08, -5.00000e-01, -4.64987e-03
1,6.448300e-01, -1.20000e+00, -3.25997e-08, -5.00000e-01, -4.70457e-03
2,6.449845e-01, -5.00000e-01, 7.64171e-08, -5.00000e-01, -4.33624e-03
2,7.692486e-01, -5.00000e-01, 1.03492e-08, -5.00000e-01, -4.24556e-03
2,7.692940e-01, -1.20000e+00, -1.02913e-07, -5.00000e-01, -4.67388e-03
2,8.935623e-01, -1.20000e+00, -3.88845e-08, -5.00000e-01, -4.84933e-03
2,9.501384e-01, -1.20000e+00, -3.30625e-08, -5.00000e-01, -4.90044e-03
2,1.006727e+00, -1.20000e+00, -2.98866e-08, -5.00000e-01, -4.94551e-03
2,1.063224e+00, -1.20000e+00, -2.79017e-08, -5.00000e-01, -4.98607e-03
2,1.119777e+00, -1.20000e+00, -2.64913e-08, -5.00000e-01, -5.02434e-03
2,1.176387e+00, -1.20000e+00, -2.53992e-08, -5.00000e-01, -5.06021e-03
2,1.232928e+00, -1.20000e+00, -2.44933e-08, -5.00000e-01, -5.09449e-03
2,1.289449e+00, -1.20000e+00, -2.37131e-08, -5.00000e-01, -5.12652e-03
3,1.289488e+00, -5.00000e-01, 8.80750e-08, -5.00000e-01, -4.77365e-03
3,1.413720e+00, -5.00000e-01, 1.63913e-08, -5.00000e-01, -4.67308e-03
3,1.413756e+00, -1.20000e+00, -1.02137e-07, -5.00000e-01, -5.04537e-03
3,1.538009e+00, -1.20000e+00, -3.65058e-08, -5.00000e-01, -5.18570e-03
3,1.594569e+00, -1.20000e+00, -3.04281e-08, -5.00000e-01, -5.22518e-03
3,1.651150e+00, -1.20000e+00, -2.70253e-08, -5.00000e-01, -5.25947e-03
3,1.707631e+00, -1.20000e+00, -2.49012e-08, -5.00000e-01, -5.29058e-03
3,1.764220e+00, -1.20000e+00, -2.34786e-08, -5.00000e-01, -5.31889e-03
3,1.820822e+00, -1.20000e+00, -2.24504e-08, -5.00000e-01, -5.34590e-03
3,1.877307e+00, -1.20000e+00, -2.16725e-08, -5.00000e-01, -5.37192e-03
3,1.933917e+00, -1.20000e+00, -2.10497e-08, -5.00000e-01, -5.39652e-03
4,1.933960e+00, -5.00000e-01, 9.34436e-08, -5.00000e-01, -5.06076e-03
4,2.058209e+00, -5.00000e-01, 1.93237e-08, -5.00000e-01, -4.96496e-03
4,2.058253e+00, -1.20000e+00, -1.03745e-07, -5.00000e-01, -5.30693e-03
4,2.182478e+00, -1.20000e+00, -3.60415e-08, -5.00000e-01, -5.42739e-03
4,2.239049e+00, -1.20000e+00, -2.98252e-08, -5.00000e-01, -5.46104e-03
4,2.295672e+00, -1.20000e+00, -2.62865e-08, -5.00000e-01, -5.49024e-03
4,2.352199e+00, -1.20000e+00, -2.40438e-08, -5.00000e-01, -5.51669e-03
4,2.408854e+00, -1.20000e+00, -2.25228e-08, -5.00000e-01, -5.54077e-03
4,2.465567e+00, -1.20000e+00, -2.14438e-08, -5.00000e-01, -5.56340e-03
4,2.522082e+00, -1.20000e+00, -2.06595e-08, -5.00000e-01, -5.58519e-03
4,2.578661e+00, -1.20000e+00, -2.00509e-08, -5.00000e-01, -5.60631e-03
5,2.578709e+00, -5.00000e-01, 9.73225e-08, -5.00000e-01, -5.28259e-03
5,2.702956e+00, -5.00000e-01, 2.15231e-08, -5.00000e-01, -5.19212e-03
5,2.703004e+00, -1.20000e+00, -1.06114e-07, -5.00000e-01, -5.51419e-03
5,2.827252e+00, -1.20000e+00, -3.61698e-08, -5.00000e-01, -5.62171e-03
5,2.883829e+00, -1.20000e+00, -2.98111e-08, -5.00000e-01, -5.65193e-03
5,2.940456e+00, -1.20000e+00, -2.61859e-08, -5.00000e-01, -5.67765e-03
5,2.996936e+00, -1.20000e+00, -2.38596e-08, -5.00000e-01, -5.70049e-03
5,3.053464e+00, -1.20000e+00, -2.22733e-08, -5.00000e-01, -5.72153e-03
5,3.110071e+00, -1.20000e+00, -2.11346e-08, -5.00000e-01, -5.74146e-03
5,3.166661e+00, -1.20000e+00, -2.03033e-08, -5.00000e-01, -5.76008e-03
5,3.223205e+00, -1.20000e+00, -1.96740e-08, -5.00000e-01, -5.77857e-03
6,3.223248e+00, -5.00000e-01, 1.00446e-07, -5.00000e-01, -5.46359e-03
6,3.347452e+00, -5.00000e-01, 2.35631e-08, -5.00000e-01, -5.37779e-03
6,3.347477e+00, -1.20000e+00, -1.08780e-07, -5.00000e-01, -5.68607e-03
6,3.471708e+00, -1.20000e+00, -3.66846e-08, -5.00000e-01, -5.78368e-03
6,3.528321e+00, -1.20000e+00, -3.01716e-08, -5.00000e-01, -5.81116e-03
6,3.584995e+00, -1.20000e+00, -2.64321e-08, -5.00000e-01, -5.83477e-03
6,3.641581e+00, -1.20000e+00, -2.40207e-08, -5.00000e-01, -5.85594e-03
6,3.698203e+00, -1.20000e+00, -2.23599e-08, -5.00000e-01, -5.87527e-03
6,3.754719e+00, -1.20000e+00, -2.11605e-08, -5.00000e-01, -5.89388e-03
6,3.811385e+00, -1.20000e+00, -2.02894e-08, -5.00000e-01, -5.91008e-03
6,3.867999e+00, -1.20000e+00, -1.96135e-08, -5.00000e-01, -5.92652e-03
7,3.868038e+00, -5.00000e-01, 1.03002e-07, -5.00000e-01, -5.61905e-03
7,3.992307e+00, -5.00000e-01, 2.57333e-08, -5.00000e-01, -5.53699e-03
7,3.992361e+00, -1.20000e+00, -1.11632e-07, -5.00000e-01, -5.83448e-03
7,4.116656e+00, -1.20000e+00, -3.74835e-08, -5.00000e-01, -5.92568e-03
7,4.173241e+00, -1.20000e+00, -3.08126e-08, -5.00000e-01, -5.95114e-03
7,4.229921e+00, -1.20000e+00, -2.69480e-08, -5.00000e-01, -5.97310e-03
7,4.286602e+00, -1.20000e+00, -2.44249e-08, -5.00000e-01, -5.99210e-03
7,4.343203e+00, -1.20000e+00, -2.26645e-08, -5.00000e-01, -6.01047e-03
7,4.399801e+00, -1.20000e+00, -2.13989e-08, -5.00000e-01, -6.02675e-03
7,4.456409e+00, -1.20000e+00, -2.04718e-08, -5.00000e-01, -6.04265e-03
7,4.512960e+00, -1.20000e+00, -1.97491e-08, -5.00000e-01, -6.05722e-03
8,4.513005e+00, -5.00000e-01, 1.05352e-07, -5.00000e-01, -5.75564e-03
8,4.637257e+00, -5.00000e-01, 2.77679e-08, -5.00000e-01, -5.67527e-03
8,4.637298e+00, -1.20000e+00, -1.14576e-07, -5.00000e-01, -5.96564e-03
8,4.761577e+00, -1.20000e+00, -3.85573e-08, -5.00000e-01, -6.05137e-03
8,4.818176e+00, -1.20000e+00, -3.17080e-08, -5.00000e-01, -6.07440e-03
8,4.874704e+00, -1.20000e+00, -2.76659e-08, -5.00000e-01, -6.09530e-03
8,4.931239e+00, -1.20000e+00, -2.50131e-08, -5.00000e-01, -6.11330e-03
8,4.987751e+00, -1.20000e+00, -2.31446e-08, -5.00000e-01, -6.12983e-03
8,5.044294e+00, -1.20000e+00, -2.17899e-08, -5.00000e-01, -6.14519e-03
8,5.100955e+00, -1.20000e+00, -2.07793e-08, -5.00000e-01, -6.15986e-03
8,5.157541e+00, -1.20000e+00, -1.99893e-08, -5.00000e-01, -6.17369e-03
9,5.157586e+00, -5.00000e-01, 1.07500e-07, -5.00000e-01, -5.87730e-03
9,5.281827e+00, -5.00000e-01, 2.99292e-08, -5.00000e-01, -5.79961e-03
9,5.281877e+00, -1.20000e+00, -1.17838e-07, -5.00000e-01, -6.08255e-03
9,5.406211e+00, -1.20000e+00, -3.99457e-08, -5.00000e-01, -6.16300e-03
9,5.462813e+00, -1.20000e+00, -3.27899e-08, -5.00000e-01, -6.18588e-03
9,5.519374e+00, -1.20000e+00, -2.85280e-08, -5.00000e-01, -6.20518e-03
9,5.576017e+00, -1.20000e+00, -2.56950e-08, -5.00000e-01, -6.22284e-03
9,5.632596e+00, -1.20000e+00, -2.36943e-08, -5.00000e-01, -6.23779e-03
9,5.689136e+00, -1.20000e+00, -2.22255e-08, -5.00000e-01, -6.25309e-03
9,5.745612e+00, -1.20000e+00, -2.11187e-08, -5.00000e-01, -6.26641e-03
9,5.802190e+00, -1.20000e+00, -2.02515e-08, -5.00000e-01, -6.27988e-03
10,5.802235e+00, -5.00000e-01, 1.10429e-07, -5.00000e-01, -5.98746e-03
10,5.926418e+00, -5.00000e-01, 3.19049e-08, -5.00000e-01, -5.90946e-03
10,5.926450e+00, -1.20000e+00, -1.21444e-07, -5.00000e-01, -6.18670e-03
10,6.050660e+00, -1.20000e+00, -4.15640e-08, -5.00000e-01, -6.26412e-03
10,6.107208e+00, -1.20000e+00, -3.40209e-08, -5.00000e-01, -6.28590e-03
